model,referecne,metric,value
growth_rate_simulated_iEC042_1314,growth_rate_file_2,Recall,0.9274028629856851
growth_rate_simulated_iEC042_1314,growth_rate_file_2,F1 Score,0.9623342175066314
growth_rate_simulated_iEC042_1314,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iEC1344_C,is_essential_file_can_grow,Accuracy,
growth_rate_simulated_iEC1344_C,is_essential_file_can_grow,Precision,
growth_rate_simulated_iEC1344_C,is_essential_file_can_grow,Recall,
growth_rate_simulated_iEC1344_C,is_essential_file_can_grow,F1 Score,
growth_rate_simulated_iEC1344_C,is_essential_file_can_grow,Specificity,
growth_rate_simulated_iEC1344_C,growth_rate_file_1,Accuracy,
growth_rate_simulated_iEC1344_C,growth_rate_file_1,Precision,
growth_rate_simulated_iEC1344_C,growth_rate_file_1,Recall,
growth_rate_simulated_iEC1344_C,growth_rate_file_1,F1 Score,
growth_rate_simulated_iEC1344_C,growth_rate_file_1,Specificity,
growth_rate_simulated_iEC1344_C,growth_rate_file_2,Accuracy,
growth_rate_simulated_iEC1344_C,growth_rate_file_2,Precision,
growth_rate_simulated_iEC1344_C,growth_rate_file_2,Recall,
growth_rate_simulated_iEC1344_C,growth_rate_file_2,F1 Score,
growth_rate_simulated_iEC1344_C,growth_rate_file_2,Specificity,
growth_rate_simulated_iEC1349_Crooks,is_essential_file_can_grow,Accuracy,0.8837209302325582
growth_rate_simulated_iEC1349_Crooks,is_essential_file_can_grow,Precision,0.9
growth_rate_simulated_iEC1349_Crooks,is_essential_file_can_grow,Recall,0.972972972972973
growth_rate_simulated_iEC1349_Crooks,is_essential_file_can_grow,F1 Score,0.935064935064935
growth_rate_simulated_iEC1349_Crooks,is_essential_file_can_grow,Specificity,0.05
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_1,Accuracy,0.8888888888888888
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_1,Precision,0.9047619047619048
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_1,Recall,0.9743589743589743
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_1,F1 Score,0.9382716049382716
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_1,Specificity,0.047619047619047616
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_2,Accuracy,0.9714285714285714
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_2,Recall,0.9714285714285714
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_2,F1 Score,0.9855072463768115
growth_rate_simulated_iEC1349_Crooks,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iEC1356_Bl21DE3,is_essential_file_can_grow,Accuracy,0.8352941176470589
growth_rate_simulated_iEC1356_Bl21DE3,is_essential_file_can_grow,Precision,0.8831168831168831
growth_rate_simulated_iEC1356_Bl21DE3,is_essential_file_can_grow,Recall,0.9315068493150684
