Name,reference,Accuracy,Precision,Recall,F1 Score,Specificity
allB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
allB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
allC,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
allC,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
allC,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
allD,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
allD,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
allD,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
allE,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
allE,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alr,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alr,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
alr,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alsA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alsA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
alsA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alsB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alsB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
alsB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alsC,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alsC,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
alsC,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alsE,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alsE,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
alsE,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alsK,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alsK,growth_rate_file_1,0.0,0.0,,,0.0
amiA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
amiA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
amiA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
amiB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
amiB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
amiB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
amiC,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
amiC,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
amiC,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
amiD,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
amiD,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
amn,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
amn,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
amn,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ampD,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ampD,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ampD,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
